CustomerID,Recency,Frequency,Monetary,R_score,F_score,M_score,RFM_Score,Segment,USER_ID,NAME,CITY,GENDER
U000001,250,1,1392.89,1,1,4,114,Hibernating,U000001,Angel Hill,New Roberttown,Other
U000002,219,4,1808.15,2,5,4,254,At Risk,U000002,Jesse Guzman,South Bridget,Male
U000003,-294,3,1153.01,5,4,3,543,Loyal Customers,U000003,Adam Shaffer,Curtisfurt,Male
U000004,34,3,7620.84,3,4,5,345,Need Attention,U000004,Melanie Munoz,New Kellystad,Other
U000005,-19,1,12.66,3,1,1,311,Need Attention,U000005,Janet Williams,South Joshuastad,Female
U000006,279,6,9952.28,1,5,5,155,At Risk,U000006,Michael Santiago,East Steven,Male
U000008,1,2,1520.91,3,2,4,324,Need Attention,U000008,Joseph Clark,Thomasberg,Male
U000009,-65,1,1297.61,4,1,4,414,Potential Loyalists,U000009,Anna Baker,East William,Other
U000010,-120,5,1631.68,4,5,4,454,Loyal Customers,U000010,Brandon Rodriguez,Jamesmouth,Male
U000011,104,2,1050.88,2,2,3,223,Hibernating,U000011,Tasha Valencia,Kaylamouth,Other
U000012,-125,2,635.59,4,2,2,422,Potential Loyalists,U000012,Ryan Chavez,Meaganhaven,Other
U000013,144,1,193.29,2,1,1,211,Hibernating,U000013,Eric Farmer,Natashaport,Other
U000014,-84,1,223.9,4,1,1,411,Potential Loyalists,U000014,John Bradley,East Donna,Male
U000016,15,1,954.86,3,1,3,313,Need Attention,U000016,Debra Kim,Andrewside,Female
U000017,-26,1,479.8,3,1,2,312,Need Attention,U000017,Jeffrey Jones,New Johnfort,Male
U000018,-305,1,27.08,5,1,1,511,Potential Loyalists,U000018,David Walls,North Collin,Male
U000019,-216,2,341.53,5,2,2,522,Potential Loyalists,U000019,Rodney Owens,South Jessicaville,Male
U000020,-117,3,521.96,4,4,2,442,Loyal Customers,U000020,James West,South Lindseyside,Male
U000021,-299,4,390.65,5,5,2,552,Loyal Customers,U000021,Denise Fernandez,South Todd,Male
U000022,96,3,2098.03,3,4,4,344,Need Attention,U000022,Richard Brown,Mitchellside,Other
U000023,43,5,6134.9,3,5,5,355,Need Attention,U000023,Tommy Lee,Lake Leeton,Other
U000024,181,1,148.16,2,1,1,211,Hibernating,U000024,Wesley Farrell,New Carlosbury,Male
U000025,93,2,858.92,3,2,3,323,Need Attention,U000025,Shelly Hudson,Sarahborough,Other
U000026,279,2,511.53,1,2,2,122,Hibernating,U000026,Leon Baker,North Stephenshire,Male
U000027,100,1,1125.55,2,1,3,213,Hibernating,U000027,Charles Lewis,Justinmouth,Other
U000029,-104,1,247.1,4,1,1,411,Potential Loyalists,U000029,Eric Campbell,Williamview,Other
U000030,6,1,584.32,3,1,2,312,Need Attention,U000030,Meghan Davis,Kellieview,Other
U000031,250,2,1235.96,1,2,3,123,Hibernating,U000031,Scott Thornton,New Barry,Female
U000032,-210,4,4739.04,5,5,5,555,Champions,U000032,Angela Jordan,Jasonbury,Male
U000034,77,3,751.77,3,4,3,343,Need Attention,U000034,Gregory Gutierrez,West Erik,Other
U000035,2,5,4178.87,3,5,5,355,Need Attention,U000035,Patrick Williams,Loribury,Female
U000036,-243,4,4910.55,5,5,5,555,Champions,U000036,Donna Ross,Frazierside,Male
U000037,356,2,895.93,1,2,3,123,Hibernating,U000037,Anthony Wiley,Reedmouth,Male
